EKF: 
[LASER] Initializing x: 
0.312243
 0.58034
     5.5
     0.5
>> Accuracy | rmse_px -> 0.0759267  | rmse_py -> 0.0913603  | rmse_vx -> 0.363809   | rmse_vy -> 0.436236  
>> Accuracy | rmse_px -> 0.075902   | rmse_py -> 0.0911879  | rmse_vx -> 0.363993   | rmse_vy -> 0.435459  
>> Accuracy | rmse_px -> 0.0758399  | rmse_py -> 0.0910449  | rmse_vx -> 0.363882   | rmse_vy -> 0.434905  
>> Accuracy | rmse_px -> 0.0757968  | rmse_py -> 0.0909177  | rmse_vx -> 0.364158   | rmse_vy -> 0.433833  
>> Accuracy | rmse_px -> 0.0765547  | rmse_py -> 0.0907008  | rmse_vx -> 0.366257   | rmse_vy -> 0.433244  
>> Accuracy | rmse_px -> 0.0777345  | rmse_py -> 0.0904905  | rmse_vx -> 0.3689     | rmse_vy -> 0.432596  
>> Accuracy | rmse_px -> 0.079121   | rmse_py -> 0.0902642  | rmse_vx -> 0.371337   | rmse_vy -> 0.432304  
>> Accuracy | rmse_px -> 0.0808635  | rmse_py -> 0.0900236  | rmse_vx -> 0.374112   | rmse_vy -> 0.431977  
>> Accuracy | rmse_px -> 0.0824392  | rmse_py -> 0.0897768  | rmse_vx -> 0.376075   | rmse_vy -> 0.432012  
>> Accuracy | rmse_px -> 0.084212   | rmse_py -> 0.0895324  | rmse_vx -> 0.378331   | rmse_vy -> 0.431733  
>> Accuracy | rmse_px -> 0.0862841  | rmse_py -> 0.0893111  | rmse_vx -> 0.380635   | rmse_vy -> 0.43192   
>> Accuracy | rmse_px -> 0.0891667  | rmse_py -> 0.0890689  | rmse_vx -> 0.384292   | rmse_vy -> 0.431066  
>> Accuracy | rmse_px -> 0.0903231  | rmse_py -> 0.0888282  | rmse_vx -> 0.384853   | rmse_vy -> 0.430306  
>> Accuracy | rmse_px -> 0.0915156  | rmse_py -> 0.0886066  | rmse_vx -> 0.385515   | rmse_vy -> 0.429277  
>> Accuracy | rmse_px -> 0.0923358  | rmse_py -> 0.0883698  | rmse_vx -> 0.385612   | rmse_vy -> 0.428543  
>> Accuracy | rmse_px -> 0.0930007  | rmse_py -> 0.0881568  | rmse_vx -> 0.385506   | rmse_vy -> 0.428138  
>> Accuracy | rmse_px -> 0.0930172  | rmse_py -> 0.0879349  | rmse_vx -> 0.384624   | rmse_vy -> 0.427825  
>> Accuracy | rmse_px -> 0.0932176  | rmse_py -> 0.0877085  | rmse_vx -> 0.384185   | rmse_vy -> 0.426917  
>> Accuracy | rmse_px -> 0.0931406  | rmse_py -> 0.0875083  | rmse_vx -> 0.383387   | rmse_vy -> 0.426254  
>> Accuracy | rmse_px -> 0.0930293  | rmse_py -> 0.0873291  | rmse_vx -> 0.382605   | rmse_vy -> 0.425786  
>> Accuracy | rmse_px -> 0.0928276  | rmse_py -> 0.0871691  | rmse_vx -> 0.381653   | rmse_vy -> 0.425494  
>> Accuracy | rmse_px -> 0.0925999  | rmse_py -> 0.0869764  | rmse_vx -> 0.380732   | rmse_vy -> 0.424396  
>> Accuracy | rmse_px -> 0.0924974  | rmse_py -> 0.0868347  | rmse_vx -> 0.380719   | rmse_vy -> 0.423382  
>> Accuracy | rmse_px -> 0.0923466  | rmse_py -> 0.0867599  | rmse_vx -> 0.380481   | rmse_vy -> 0.422736  
>> Accuracy | rmse_px -> 0.0924086  | rmse_py -> 0.0867096  | rmse_vx -> 0.380955   | rmse_vy -> 0.422281  
>> Accuracy | rmse_px -> 0.0927104  | rmse_py -> 0.0866232  | rmse_vx -> 0.382244   | rmse_vy -> 0.421269  
>> Accuracy | rmse_px -> 0.0927968  | rmse_py -> 0.0868668  | rmse_vx -> 0.382832   | rmse_vy -> 0.420586  
>> Accuracy | rmse_px -> 0.0928729  | rmse_py -> 0.0868908  | rmse_vx -> 0.383463   | rmse_vy -> 0.419542  
>> Accuracy | rmse_px -> 0.0928517  | rmse_py -> 0.0868733  | rmse_vx -> 0.383705   | rmse_vy -> 0.418497  
>> Accuracy | rmse_px -> 0.0928943  | rmse_py -> 0.0869737  | rmse_vx -> 0.384026   | rmse_vy -> 0.417814  
>> Accuracy | rmse_px -> 0.0928011  | rmse_py -> 0.0872144  | rmse_vx -> 0.383909   | rmse_vy -> 0.417363  
